Start State:
cross section    distance           zbed     leftdam    rightdam  bottomlevel              z          eline              A              Q              C        delta x         
        CS137          13700       106.3       116.3       116.3        110.3      107.97512       108.0388      22.365805             25              0            100
        CS138          13800       106.2       116.2       116.2        110.2      107.87515      107.93883      22.366359             25              0            100
        CS139          13900       106.1       116.1       116.1        110.1      107.77514      107.83882      22.366333             25              0            100
        CS140          14000         106         116         116          110      107.67519      107.73887      22.365908             25              0            100
        CS141          14100       105.9       115.9       115.9        109.9      107.57516      107.63884      22.365452             25              0            100
        CS142          14200       105.8       115.8       115.8        109.8      107.47514      107.53883      22.365414             25              0            100
        CS143          14300       105.7       115.7       115.7        109.7      107.37513      107.43882      22.365399             25              0            100
        CS144          14400       105.6       115.6       115.6        109.6      107.27513      107.33881      22.365434             25              0            100
        CS145          14500       105.5       115.5       115.5        109.5      107.17512       107.2388      22.365494             25              0            100
        CS146          14600       105.4       115.4       115.4        109.4      107.07512      107.13881      22.365697             25              0            100
        CS147          14700       105.3       115.3       115.3        109.3      106.97512       107.0388      22.365804             25              0            100
        CS148          14800       105.2       115.2       115.2        109.2      106.87515      106.93883      22.366357             25              0            100
        CS149          14900       105.1       115.1       115.1        109.1      106.77514      106.83882       22.36633             25              0            100
        CS150          15000         105         115         115          109      106.67519      106.73887      22.365905             25              0            100
        CS151          15100       104.9       114.9       114.9        108.9      106.57516      106.63884      22.365448             25              0            100
        CS152          15200       104.8       114.8       114.8        108.8      106.47514      106.53883       22.36541             25              0            100
        CS153          15300       104.7       114.7       114.7        108.7      106.37513      106.43882      22.365394             25              0            100
        CS154          15400       104.6       114.6       114.6        108.6      106.27513      106.33881      22.365427             25              0            100
        CS155          15500       104.5       114.5       114.5        108.5      106.17512       106.2388      22.365486             25              0            100
        CS156          15600       104.4       114.4       114.4        108.4      106.07512      106.13881      22.365686             25              0            100
        CS157          15700       104.3       114.3       114.3        108.3      105.97512       106.0388      22.365791             25              0            100
        CS158          15800       104.2       114.2       114.2        108.2      105.87515      105.93883      22.366338             25              0            100
        CS159          15900       104.1       114.1       114.1        108.1      105.77514      105.83882       22.36631             25              0            100
        CS160          16000         104         114         114          108      105.67519      105.73887       22.36588             25              0            100
        CS161          16100       103.9       113.9       113.9        107.9      105.57515      105.63884      22.365418             25              0            100
        CS162          16200       103.8       113.8       113.8        107.8      105.47514      105.53883      22.365374             25              0            100
        CS163          16300       103.7       113.7       113.7        107.7      105.37513      105.43881      22.365354             25              0            100
        CS164          16400       103.6       113.6       113.6        107.6      105.27512      105.33881      22.365367             25              0            100
        CS165          16500       103.5       113.5       113.5        107.5      105.17512       105.2388       22.36542             25              0            100
        CS166          16600       103.4       113.4       113.4        107.4      105.07512       105.1388      22.365592             25              0            100
        CS167          16700       103.3       113.3       113.3        107.3      104.97512       105.0388      22.365688             25              0            100
        CS168          16800       103.2       113.2       113.2        107.2      104.87514      104.93882      22.366185             25              0            100
        CS169          16900       103.1       113.1       113.1        107.1      104.77513      104.83881       22.36614             25              0            100
        CS170          17000         103         113         113          107      104.67518      104.73886      22.365677             25              0            100
        CS171          17100       102.9       112.9       112.9        106.9      104.57514      104.63882      22.365175             25              0            100
        CS172          17200       102.8       112.8       112.8        106.8      104.47512      104.53881      22.365081             25              0            100
        CS173          17300       102.7       112.7       112.7        106.7      104.37511       104.4388      22.365005             25              0            100
        CS174          17400       102.6       112.6       112.6        106.6       104.2751      104.33878      22.364947             25              0            100
        CS175          17500       102.5       112.5       112.5        106.5      104.17509      104.23877      22.364911             25              0            100
        CS176          17600       102.4       112.4       112.4        106.4      104.07508      104.13876      22.364899             25              0            100
        CS177          17700       102.3       112.3       112.3        106.3      103.97507      104.03875      22.364897             25              0            100
        CS178          17800       102.2       112.2       112.2        106.2      103.87507      103.93875      22.365031             25              0            100
        CS179          17900       102.1       112.1       112.1        106.1      103.77505      103.83874      22.364858             25              0            100
        CS180          18000         102         112         112          106      103.67509      103.73878      22.364138             25              0            100
        CS181          18100       101.9       111.9       111.9        105.9      103.57503      103.63872      22.363329             25              0            100
        CS182          18200       101.8       111.8       111.8        105.8      103.47499      103.53869      22.362865             25              0            100
        CS183          18300       101.7       111.7       111.7        105.7      103.37495      103.43865      22.362344             25              0            100
        CS184          18400       101.6       111.6       111.6        105.6       103.2749      103.33861      22.361752             25              0            100
        CS185          18500       101.5       111.5       111.5        105.5      103.17485      103.23856      22.361075             25              0            100
        CS186          18600       101.4       111.4       111.4        105.4       103.0748      103.13851      22.360292             25              0            100
        CS187          18700       101.3       111.3       111.3        105.3      102.97474      103.03845      22.359383             25              0            100
        CS188          18800       101.2       111.2       111.2        105.2      102.87466      102.93839      22.358322             25              0            100
        CS189          18900       101.1       111.1       111.1        105.1      102.77457       102.8383       22.35684             25              0            100
        CS190          19000         101         111         111          105       102.6745      102.73825      22.354519             25              0            100
        CS191          19100       100.9       110.9       110.9        104.9      102.57433      102.63809      22.351786             25              0            100
        CS192          19200       100.8       110.8       110.8        104.8      102.47415      102.53793      22.349005             25              0            100
        CS193          19300       100.7       110.7       110.7        104.7      102.37394      102.43774      22.345699             25              0            100
        CS194          19400       100.6       110.6       110.6        104.6       102.2737      102.33751      22.341759             25              0            100
        CS195          19500       100.5       110.5       110.5        104.5       102.1734      102.23725      22.337056             25              0            100
        CS196          19600       100.4       110.4       110.4        104.4      102.07306      102.13693      22.331433             25              0            100
        CS197          19700       100.3       110.3       110.3        104.3      101.97264      102.03656      22.324701             25              0            100
        CS198          19800       100.2       110.2       110.2        104.2      101.87215      101.93611      22.316689             25              0            100
        CS199          19900       100.1       110.1       110.1        104.1      101.77091      101.83499       22.29621             25              0            100
        CS200          20000         100         110         110          104      101.67524      101.73892      22.366677             25              0             50


Time [s]:                         10 TimeStep [s]:               10
 u: 0 c: 0
Edge number         Flux H         Flux U     Sediment Flux             Flux A              Flux D
         0        22.8255        24.0235                 0                  0                    0
         1             25        28.8187                 0                  0                    0
         2             25        28.8188                 0                  0                    0
         3             25        28.8189                 0                  0                    0
         4             25        28.8189                 0                  0                    0
         5             25        28.8189                 0                  0                    0
         6             25        28.8186                 0                  0                    0
         7             25        28.8187                 0                  0                    0
         8             25        28.8176                 0                  0                    0
         9             25        28.8188                 0                  0                    0
        10             25        28.8182                 0                  0                    0
        11             25        28.8161                 0                  0                    0
        12             25        28.8188                 0                  0                    0
        13             25        28.8189                 0                  0                    0
        14             25        28.8189                 0                  0                    0
        15             25        28.8189                 0                  0                    0
